OutlierMethod,RMS used,Filter Type,Filter order,low,high,
STD 2,1,Chebyshev 2,3,200,500 
CH1,CH2,CH3,CH4,CH5 
0.024628,0.003479,0.242523,0.004807,-0.000961
-0.032867,0.006912,0.278458,-0.001968,-0.003708
-0.097961,0.008377,0.168182,0.003204,0.004761
-0.133484,0.003754,-0.276947,0.005814,0.008331
-0.117828,0.001785,-0.506516,0.007416,0.004349
-0.062759,-0.001419,-0.379257,0.003250,0.002792
0.030396,-0.004944,-0.275803,0.006638,0.000961
0.061844,-0.012863,-0.219315,0.003616,0.000320
0.109131,-0.015518,-0.125839,0.005814,0.003525
0.127808,-0.008835,-0.011169,-0.004028,0.003250
0.103317,-0.010895,0.117325,-0.002609,0.000961
0.073975,-0.008743,0.134903,0.005997,0.006180
0.067566,-0.014694,0.053604,0.008011,0.007599
0.019547,-0.013687,-0.055115,0.009659,0.009933
0.036255,-0.005905,0.004349,0.007736,0.003983
0.080841,-0.009521,-0.017899,0.000870,-0.000641
0.077591,-0.001419,-0.065689,-0.013550,-0.000504
0.066330,-0.009201,-0.030441,-0.022385,0.001053
0.070312,-0.002747,0.089355,-0.020187,0.000320
-0.004028,-0.009659,0.207092,-0.007462,-0.000961
-0.149597,-0.000687,0.211258,-0.004578,-0.002335
-0.216431,-0.011993,0.164200,0.016205,-0.001511
-0.180496,-0.008469,0.160721,0.015518,0.004715
-0.086563,-0.008835,0.070404,0.007141,0.005951
-0.003662,0.000320,0.007370,0.004166,0.006546
0.046371,-0.010071,-0.084503,-0.004166,0.005951
0.011581,-0.002060,-0.125931,-0.001144,0.007233
-0.046555,-0.006958,-0.061523,-0.005264,0.006866
-0.086700,-0.009933,0.007462,-0.000412,-0.000595
-0.120667,-0.009338,-0.034470,0.003616,-0.005630
-0.128860,-0.011719,-0.116180,0.005997,-0.003067
-0.090729,-0.006821,-0.047836,-0.000732,0.005447
-0.011444,-0.000687,-0.013687,-0.005630,0.006500
0.110596,-0.002335,0.013046,-0.000687,0.004074
0.223892,-0.002792,-0.007507,-0.001923,0.001740
0.237534,0.007187,0.025864,0.005905,-0.002106
0.179443,0.005402,-0.010849,0.007278,0.004898
0.067474,0.007278,-0.050858,0.001236,0.004257
-0.007050,0.008377,-0.062759,-0.011032,-0.001602
-0.040283,-0.002792,-0.045456,-0.002151,-0.001236
-0.053604,-0.017487,0.058456,0.004944,-0.002197
-0.063812,-0.026871,0.036575,0.004990,-0.001053
-0.094162,-0.024582,-0.029800,0.001785,-0.002106
-0.168686,-0.024582,-0.062531,0.002701,-0.000229
-0.190155,-0.015884,-0.051132,0.003525,0.007462
-0.139114,-0.019455,-0.007416,0.000320,0.005310
-0.008423,-0.006729,0.090363,0.003754,0.007462
0.157013,-0.004852,0.038544,-0.005768,0.005951
0.242523,0.001602,0.026321,-0.001465,0.005859
0.275574,-0.004852,-0.047516,-0.003387,0.008011
0.224625,-0.015610,-0.108261,-0.009018,0.009750
0.107025,-0.024307,-0.096542,-0.000458,0.008377
0.015930,-0.010391,-0.054108,0.001968,0.006912
-0.046967,-0.011124,0.017899,0.007690,0.011856
-0.124786,0.000275,0.105515,0.006180,0.007828
-0.129776,0.008926,0.189011,0.000183,0.008423
-0.093109,0.018997,0.224625,0.005951,0.002151
-0.062759,0.023575,0.274017,0.009430,-0.003891
-0.052597,0.030533,0.290909,0.005264,-0.002609
-0.046555,0.041428,0.089081,0.004440,0.002609
-0.032822,0.025177,-0.186859,0.011353,0.007553
-0.019226,0.005630,-0.360489,0.011261,0.007050
0.003250,-0.023117,-0.296356,0.013733,0.007874
0.040466,-0.036942,-0.085464,0.003433,0.005905
0.044357,-0.045364,-0.068344,-0.007095,0.010757
0.005173,-0.058182,-0.248932,-0.006500,0.004532
-0.018677,-0.042984,-0.186081,-0.000412,0.005081
-0.007874,-0.032089,-0.015381,0.004166,0.002747
0.056122,-0.011627,0.110550,-0.003983,0.006638
0.101440,-0.008102,0.122772,-0.005585,0.008514
0.105377,-0.009613,0.138016,-0.005585,0.007278
0.060699,-0.005539,0.125473,-0.006180,-0.001144
0.049942,0.003250,-0.000412,-0.000412,-0.002975
0.015472,0.009384,-0.187454,0.004257,-0.003799
-0.029205,0.017075,-0.173996,0.003250,-0.006042
-0.055435,0.014236,-0.057266,0.001648,-0.005585
-0.126617,0.005722,0.055573,0.003525,-0.001190
-0.220917,-0.010162,0.083221,0.001465,-0.001419
-0.240784,-0.030624,0.105331,0.002151,-0.002930
-0.158432,-0.029343,0.082306,-0.000687,0.003983
-0.036530,-0.030350,0.108307,-0.000366,0.005630
0.095490,-0.011765,0.093155,-0.003204,0.000092
0.148224,-0.007599,0.002518,0.000320,-0.000320
